id,title,image_url,artist,year,medium,collection,current_location,creation_location,height,width
1206,Still Life with Peacocks,http://commons.wikimedia.org/wiki/Special:FilePath/Harmensz%20van%20Rijn%20Rembrandt%20%281606-1669%29%20-%20Stillleben%20mit%20M%C3%A4dchen%2C%20Pfauen%20und%20Obstkorb%20-%202418%20-%20F%C3%BChrermuseum.jpg,Rembrandt,1636,canvas,Munich Central Collecting Point,Munich Central Collecting Point,Unknown,145,135.5
437,View from Dekkersduin,http://commons.wikimedia.org/wiki/Special:FilePath/View%20from%20Dekkersduin.jpg,Johan Hendrik Weissenbruch,1849,canvas,Teylers Museum,Teylers Museum,Unknown,74,97
715,Christ with the soul of the Virgin,http://commons.wikimedia.org/wiki/Special:FilePath/Andrea%20mantegna%2C%20cristo%20con%20l%27animula%20della%20madonna%2C%201462%2C%2003.jpg,Andrea Mantegna,1462,tempera,Pinacoteca Nazionale,Pinacoteca Nazionale,Unknown,28,18
1187,Bridal Procession on the Hardangerfjord,http://commons.wikimedia.org/wiki/Special:FilePath/Hans%20Gude%2C%20Adolph%20Tidemand%20-%20Bridal%20Procession%20on%20the%20Hardangerfjord%20-%20NG.M.00467%20-%20National%20Museum%20of%20Art%2C%20Architecture%20and%20Design.jpg,Adolph Tidemand,1848,oil paint,"National Museum of Art, Architecture and Design","National Museum of Art, Architecture and Design",Unknown,93.5,130.1
405,Composition of proportions,http://commons.wikimedia.org/wiki/Special:FilePath/Theo%20van%20Doesburg%20158.jpg,Theo van Doesburg,1929,canvas,Philadelphia Art Museum,Philadelphia Art Museum,Unknown,30,30
1284,Portrait of Ambroise Vollard,http://commons.wikimedia.org/wiki/Special:FilePath/Pierre%20Bonnard%20-%20Ambroise%20Vollard%20-%202%20-%20Foundation%20E.G.%20B%C3%BChrle%20Collection.jpg,Pierre Bonnard,1904,canvas,Kunsthaus Zürich,Kunsthaus Zürich,Unknown,73,60
738,Blessing Christ,http://commons.wikimedia.org/wiki/Special:FilePath/Blessing%20Christ%20by%20Giovanni%20Bellini%20%28Louvre%20RF%202039%29.jpg,Giovanni Bellini,1465,oil paint,Department of Paintings of the Louvre,Room 710,Unknown,58,46
964,The Hülsenbeck children,http://commons.wikimedia.org/wiki/Special:FilePath/Philipp%20Otto%20Runge%20003.jpg,Philipp Otto Runge,1800,canvas,Hamburger Kunsthalle,Hamburger Kunsthalle,Unknown,131.5,143.5
105,Arnolfini Portrait,http://commons.wikimedia.org/wiki/Special:FilePath/Van%20Eyck%20-%20Arnolfini%20Portrait.jpg,Jan van Eyck,1434,oak panel,National Gallery,"Room 28, National Gallery",Unknown,82.2,60
610,Madonna with the Fish,http://commons.wikimedia.org/wiki/Special:FilePath/Raffaello%20Sanzio%20-%20Sacra%20Famiglia%20con%20Rafael%2C%20Tobia%20e%20San%20Girolamo%2C%20o%20Vergine%20del%20pesce.jpg,Raphael,1513,panel,Museo del Prado,Museo del Prado,Unknown,215,158
655,Joseph in the well,http://commons.wikimedia.org/wiki/Special:FilePath/Maestro%20di%20isacco%2C%20giuseppe%20venduto%20dai%20fratelli%202.jpg,Giotto,1291,fresco,Basilica of San Francesco d'Assisi,Upper Basilica of San Francesco d'Assisi,Unknown,300,300
975,Annunciation,http://commons.wikimedia.org/wiki/Special:FilePath/Annunciation%20-%20Jan%20van%20Eyck%20-%201434%20-%20NG%20Wash%20DC.jpg,Jan van Eyck,1435,panel,Andrew W. Mellon collection,National Gallery of Art,Unknown,902,341
63,Lola de Valence,http://commons.wikimedia.org/wiki/Special:FilePath/Lola%20de%20Valence%20%281862%29%20-%20Edouard%20Manet%20%28Mus%C3%A9e%20d%27Orsay%2C%20Paris%29.jpg,Édouard Manet,1862,canvas,Musée d'Orsay,Musée d'Orsay,Unknown,123,92
282,Olympia,http://commons.wikimedia.org/wiki/Special:FilePath/Edouard%20Manet%20-%20Olympia%20-%20Google%20Art%20Project%203.jpg,Édouard Manet,1863,oil paint,Musée d'Orsay,Musée d'Orsay,Marvejols,130.5,191
803,Annunciation,http://commons.wikimedia.org/wiki/Special:FilePath/Annunciation%20%28Leonardo%29%20%28cropped%29.jpg,Leonardo da Vinci,1472,oil paint,Uffizi Gallery,Uffizi Gallery,Unknown,90,222
239,Under the Bridge of Hampton Court,http://commons.wikimedia.org/wiki/Special:FilePath/Alfred%20Sisley%20066.jpg,Alfred Sisley,1874,canvas,Building of the Winterthur Museum of Art,Building of the Winterthur Museum of Art,Unknown,50,76
