id,title,image_url,artist,year,medium,collection,current_location,creation_location,height,width,movement
343,The Woman Taken in Adultery,http://commons.wikimedia.org/wiki/Special:FilePath/Rembrandt%20Christ%20and%20the%20Woman%20Taken%20in%20Adultery.jpg,Rembrandt,1644,panel,National Gallery,National Gallery,Unknown,83.8,65.4,Dutch Golden Age painting
344,The Virgin and Child with Saint Anne,http://commons.wikimedia.org/wiki/Special:FilePath/Sainte%20Anne%20Leonard.jpg,Leonardo da Vinci,1511,oil paint,Department of Paintings of the Louvre,Room 710,Unknown,168.0,130.0,High Renaissance
345,Pesaro Madonna,http://commons.wikimedia.org/wiki/Special:FilePath/Frari%20%28Venice%29%20nave%20left%20-%20Altar%20of%20Madona%20di%20Ca%27Pesaro.jpg,Titian,1522,canvas,Santa Maria Gloriosa dei Frari,Santa Maria Gloriosa dei Frari,Venice,478.0,268.0,High Renaissance
346,The Icebergs,http://commons.wikimedia.org/wiki/Special:FilePath/Frederic%20Edwin%20Church%20-%20The%20Icebergs%20-%201979.28%20-%20Dallas%20Museum%20of%20Art.jpg,Frederic Edwin Church,1861,oil paint,Dallas Museum of Art,Dallas Museum of Art,Unknown,163.83,285.75,Hudson River school
347,Crucifixion and Last Judgement diptych,http://commons.wikimedia.org/wiki/Special:FilePath/Jan%20van%20Eyck%20-%20Diptych%20-%20WGA07587.jpg,Jan van Eyck,1440,panel,Hermitage Museum,Metropolitan Museum of Art,Unknown,56.5,19.7,Early Netherlandish painting
348,The Descent from the Cross,http://commons.wikimedia.org/wiki/Special:FilePath/El%20Descendimiento%2C%20by%20Rogier%20van%20der%20Weyden%2C%20from%20Prado%20in%20Google%20Earth.jpg,Rogier van der Weyden,1440,oil paint,Museo del Prado,El Pardo,Unknown,204.5,261.5,Early Netherlandish painting
349,Saint Matthew and the Angel,http://commons.wikimedia.org/wiki/Special:FilePath/Caravaggio%20%28Michelangelo%20Merisi%29%20%281571%20-%201610%29%20-%20The%20Evangelist%20Matthew%20-%20365%20-%20Gem%C3%A4ldegalerie.jpg,Caravaggio,1602,oil paint,Contarelli Chapel,Gemäldegalerie Berlin,Italy,232.0,183.0,Baroque
350,The Descent from the Cross,http://commons.wikimedia.org/wiki/Special:FilePath/Rembrandt%20Harmensz.%20van%20Rijn%20071.jpg,Rembrandt,1633,oil paint,Bavarian State Painting Collections,"Alte Pinakothek, upper floor, gallery IX",Unknown,89.4,65.2,Dutch Golden Age painting
351,Madonna with child,http://commons.wikimedia.org/wiki/Special:FilePath/Huguet-MareDeuVallmoll.jpg,Jaume Huguet,1450,gold leaf,Museu Nacional d'Art de Catalunya,Museu Nacional d'Art de Catalunya,Unknown,213.3,160.4,Gothic painting
352,Terranuova Madonna,http://commons.wikimedia.org/wiki/Special:FilePath/Raffaello%20Sanzio%20-%20Madonna%20Terranuova%20%28Berlin%29.jpg,Raphael,1505,oil paint,Gemäldegalerie Berlin,Gemäldegalerie Berlin,Unknown,87.0,87.0,High Renaissance
353,The Dream of a Knight,http://commons.wikimedia.org/wiki/Special:FilePath/Sanzio%20Raffaello%20-%20Visione%20del%20cavaliere%20%28circa%201504%29.jpg,Raphael,1504,oil paint,National Gallery,National Gallery,Unknown,17.1,17.3,High Renaissance
354,Self-portrait,http://commons.wikimedia.org/wiki/Special:FilePath/Raffaello%20Sanzio.jpg,Raphael,1505,panel,Uffizi Gallery,Uffizi Gallery,Unknown,47.5,33.0,High Renaissance
355,Adoration of the Magi,http://commons.wikimedia.org/wiki/Special:FilePath/Adoration%20of%20the%20Magi%20Spedale%20degli%20Innocenti.jpg,Bartolomeo di Giovanni,1485,oil paint,Museo degli Innocenti,Hospital of Innocents,Unknown,285.0,240.0,Italian Renaissance
356,The Annunciation,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Annunciation%20MET%20DT2634.jpg,Sandro Botticelli,1450,gold leaf,Metropolitan Museum of Art,Metropolitan Museum of Art,Unknown,19.1,31.4,Early Renaissance
357,The Worried Lover,http://commons.wikimedia.org/wiki/Special:FilePath/Jean-Antoine%20Watteau%20-%20L%E2%80%99Amante%20inqui%C3%A8te%20-%20Google%20Art%20Project.jpg,Jean-Antoine Watteau,1715,panel,Condé Museum,Condé Museum,Unknown,24.0,17.5,Rococo
358,Agony in the Garden,http://commons.wikimedia.org/wiki/Special:FilePath/Pietro%20Perugino%20cat20.jpg,Pietro Perugino,1483,oil paint,Uffizi Gallery,Uffizi Gallery,Unknown,166.0,171.0,Italian Renaissance
359,The Toothpuller,http://commons.wikimedia.org/wiki/Special:FilePath/Toothpuller.jpg,Caravaggio,1608,oil paint,Galleria Palatina,Galleria Palatina,Unknown,140.0,195.0,Baroque
360,L'Indifférent,http://commons.wikimedia.org/wiki/Special:FilePath/L%27Indiff%C3%A9rent%20-%20Jean-Antoine%20Watteau%20-%20Mus%C3%A9e%20du%20Louvre%20Peintures%20MI%201122.jpg,Jean-Antoine Watteau,1717,oil paint,Department of Paintings of the Louvre,Room 918,Unknown,25.5,19.0,Rococo
361,La Fée Électricité,http://commons.wikimedia.org/wiki/Special:FilePath/Raoul%20dufy%2C%20la%20fata%20elettricit%C3%A0%2C%201937%2C%2003.jpg,Raoul Dufy,1937,oil paint,Musée d'art moderne de Paris,Palais de Tokyo,Unknown,1000.0,6000.0,Art Deco
362,Adoration of the Magi,http://commons.wikimedia.org/wiki/Special:FilePath/Pietro%20Perugino%20cat06.jpg,Pietro Perugino,1470,tempera,National Gallery of Umbria,National Gallery of Umbria,Unknown,241.0,180.0,Umbrian school
363,Ascension of Christ,http://commons.wikimedia.org/wiki/Special:FilePath/Pietro%20Perugino%20cat48c.jpg,Pietro Perugino,1450,panel,Museum of Fine Arts of Lyon,Museum of Fine Arts of Lyon,Unknown,325.0,265.0,Italian Renaissance
364,The Archangel Michael,http://commons.wikimedia.org/wiki/Special:FilePath/Pietro%20Perugino%20-%20Archangel%20Michael%20-%20WGA17307.jpg,Pietro Perugino,1496,oil paint,National Gallery,National Gallery,Unknown,126.0,58.0,Italian Renaissance
365,"The Story of Nastagio Degli Onesti, part two",http://commons.wikimedia.org/wiki/Special:FilePath/Nastagio%20Degli%20Onesti%20II.jpg,Sandro Botticelli,1483,tempera,Museo del Prado,Museo del Prado,Unknown,82.0,138.0,Early Renaissance
366,The Dead Toreador,http://commons.wikimedia.org/wiki/Special:FilePath/Edouard%20Manet%20073%20%28Toter%20Torero%29.jpg,Édouard Manet,1864,oil paint,National Gallery of Art,National Gallery of Art,Unknown,75.9,153.3,Realism
367,The Bride of Abydos,http://commons.wikimedia.org/wiki/Special:FilePath/Eug%C3%A8ne%20Delacroix%20-%20La%20fianc%C3%A9e%20d%27Abydos%20%28Louvre%29.jpg,Eugène Delacroix,1846,oil paint,Department of Paintings of the Louvre,Room 942,Unknown,35.5,27.5,Orientalism
368,Annunciation of San Giovanni Valdarno,http://commons.wikimedia.org/wiki/Special:FilePath/Beato%20Angelico%2C%20Annunciazione%20di%20San%20Giovanni%20Valdarno%2C%201432%20ca.%2C%2001.jpg,Fra Angelico,1430,panel,Museo della Basilica di Santa Maria delle Grazie,Museo della Basilica di Santa Maria delle Grazie,Unknown,195.0,158.0,Italian Renaissance
369,The Fire,http://commons.wikimedia.org/wiki/Special:FilePath/L%27Incendie.jpg,Alexandre Antigna,1850,oil paint,Musée des Beaux-Arts d'Orléans,Musée des Beaux-Arts d'Orléans,Unknown,262.0,282.0,realism
370,The Annunciation,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Annunciation%20MET%20DT1479.jpg,Petrus Christus,1450,panel,Metropolitan Museum of Art,Metropolitan Museum of Art,Unknown,77.5,64.1,Early Netherlandish painting
371,Plein air,http://commons.wikimedia.org/wiki/Special:FilePath/%28Barcelona%29%20Plein%20air%20by%20Ramon%20Casas%20-%20Museu%20Nacional%20d%27Art%20de%20Catalunya.jpg,Ramon Casas,1890,oil paint,Museu Nacional d'Art de Catalunya,Museu Nacional d'Art de Catalunya,Paris,505.0,655.0,Catalan modernism
372,Cupid Disarmed,http://commons.wikimedia.org/wiki/Special:FilePath/Watteau%20L%27Amour%20d%C3%A9sarm%C3%A9%20Mus%C3%A9e%20Cond%C3%A9.jpg,Jean-Antoine Watteau,1715,oil paint,Condé Museum,Condé Museum,Unknown,47.0,38.0,Rococo
373,Cupid and Psyche,http://commons.wikimedia.org/wiki/Special:FilePath/Clevelandart%201962.37.jpg,Jacques-Louis David,1817,oil paint,Cleveland Museum of Art,Cleveland Museum of Art,Brussels metropolitan area,184.0,242.0,Neoclassicism
374,"The Story of Nastagio Degli Onesti, part three",http://commons.wikimedia.org/wiki/Special:FilePath/Sandro%20Botticelli%20075.jpg,Sandro Botticelli,1483,panel,Museo del Prado,Museo del Prado,Unknown,84.0,142.0,Early Renaissance
375,Greece on the Ruins of Missolonghi,http://commons.wikimedia.org/wiki/Special:FilePath/La%20Gr%C3%A8ce%20sur%20les%20ruines%20de%20Missolonghi.jpg,Eugène Delacroix,1826,oil paint,Musée des Beaux-Arts de Bordeaux,Musée des Beaux-Arts de Bordeaux,Unknown,213.0,142.0,Romanticism
376,The Apotheosis of Homer,http://commons.wikimedia.org/wiki/Special:FilePath/Hom%C3%A8re%20d%C3%A9ifi%C3%A9%2C%20dit%20aussi%20L%27apoth%C3%A9ose%20d%27Hom%C3%A8re%20-%20Jean-Auguste%20Dominique%20Ingres%20-%20Mus%C3%A9e%20du%20Louvre%20Peintures%20INV%205417%20%3B%20C%20196.jpg,Jean-Auguste-Dominique Ingres,1827,oil paint,Department of Paintings of the Louvre,Room 702,Unknown,386.0,512.0,Neoclassicism
377,La Générosité des dames romaines,http://commons.wikimedia.org/wiki/Special:FilePath/Louis%20Gauffier%20-%20La%20G%C3%A9n%C3%A9rosite%20des%20dames%20romaines%20-%20Poitiers.jpg,Louis Gauffier,1790,oil paint,Musée Sainte-Croix,Musée Sainte-Croix,Unknown,82.0,113.0,Neoclassicism
378,Adoration of the Magi,http://commons.wikimedia.org/wiki/Special:FilePath/Adoration%20of%20the%20Magi%20Spedale%20degli%20Innocenti.jpg,Domenico Ghirlandaio,1485,oil paint,Museo degli Innocenti,Hospital of Innocents,Unknown,285.0,240.0,Italian Renaissance
379,Christ's Entry Into Brussels in 1889,http://commons.wikimedia.org/wiki/Special:FilePath/Christ%27s%20Entry%20into%20Brussels%20in%201889.jpg,James Ensor,1888,oil paint,J. Paul Getty Museum,Getty Center,Unknown,253.0,431.0,Les XX
380,Cupid Complaining to Venus,http://commons.wikimedia.org/wiki/Special:FilePath/Lucas%20Cranach%20%28I%29%20-%20Venus%20and%20Cupid%20%28National%20Gallery%2C%20London%29.jpg,Lucas Cranach the Elder,1526,paint,National Gallery,"Altdorfer, Cranach the Elder, Dürer - room 25",Unknown,81.3,54.6,German Renaissance
381,Annunciation with Saints Maxima and Ansanus,http://commons.wikimedia.org/wiki/Special:FilePath/Simone%20Martini%20%E2%80%94%20Annunciation%20with%20St.%20Margaret%20and%20St.%20Ansanus.jpg,Lippo Memmi,1333,tempera,Uffizi Gallery,Siena Cathedral,Unknown,158.0,48.0,Gothic art
382,The Birth of John the Baptist,http://commons.wikimedia.org/wiki/Special:FilePath/Jacopo%20Tintoretto%20-%20The%20Birth%20of%20John%20the%20Baptist%20-%20WGA22441.jpg,Jacopo Tintoretto,1550,oil paint,Hermitage Museum,Hermitage hall 237,Italy,181.0,266.0,Mannerism
383,Lise with a Parasol,http://commons.wikimedia.org/wiki/Special:FilePath/Lise%20with%20a%20Parasol.jpg,Pierre-Auguste Renoir,1867,oil paint,Museum Folkwang,Museum Folkwang,Chailly-en-Bière,184.0,115.0,Impressionism
384,Annunciation with Saints Maxima and Ansanus,http://commons.wikimedia.org/wiki/Special:FilePath/Simone%20Martini%20%E2%80%94%20Annunciation%20with%20St.%20Margaret%20and%20St.%20Ansanus.jpg,Simone Martini,1333,panel,Uffizi Gallery,Siena Cathedral,Unknown,158.0,48.0,International Gothic
385,Proserpine,http://commons.wikimedia.org/wiki/Special:FilePath/Dante%20Gabriel%20Rossetti%20-%20Proserpine%20-%20Google%20Art%20Project.jpg,Dante Gabriel Rossetti,1874,canvas,Tate Britain,Tate Britain,Unknown,125.1,61.0,Pre-Raphaelite Brotherhood
386,The Agnew Clinic,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Agnew%20Clinic%20-%20Thomas%20Eakins.jpg,Thomas Eakins,1889,oil paint,University of Pennsylvania,University of Pennsylvania,University of Pennsylvania,214.0,300.0,scientific realism
387,La Blonde aux seins nus,http://commons.wikimedia.org/wiki/Special:FilePath/Manet%2C%20Edouard%20-%20Blonde%20Woman%20with%20Bare%20Breasts.jpg,Édouard Manet,1878,canvas,Musée d'Orsay,Musée d'Orsay,Unknown,62.5,52.0,Impressionism
388,Paris Parliament Crucifixion,http://commons.wikimedia.org/wiki/Special:FilePath/La%20Crucifixion%20du%20Parlement%20de%20Paris%20-%20Mus%C3%A9e%20du%20Louvre%20Peintures%20RF%202065.jpg,André d’Ypres,1445,oak panel,Department of Paintings of the Louvre,Room 820,Unknown,226.5,270.0,Flamboyant
389,Paris Parliament Crucifixion,http://commons.wikimedia.org/wiki/Special:FilePath/La%20Crucifixion%20du%20Parlement%20de%20Paris%20-%20Mus%C3%A9e%20du%20Louvre%20Peintures%20RF%202065.jpg,Master of Dreux Budé,1449,oil paint,Department of Paintings of the Louvre,Room 820,Unknown,226.5,270.0,Flamboyant
390,Lamentation over the Dead Christ,http://commons.wikimedia.org/wiki/Special:FilePath/Pietro%20Perugino%20cat40.jpg,Pietro Perugino,1495,oil paint,Galleria Palatina,Galleria Palatina,Unknown,220.0,195.0,Italian Renaissance
391,The Last Communion of Saint Jerome,http://commons.wikimedia.org/wiki/Special:FilePath/Sandro%20Botticelli%2C%20The%20Last%20Communion%20of%20Saint%20Jerome.png,Sandro Botticelli,1495,panel,Metropolitan Museum of Art,Metropolitan Museum of Art,Unknown,34.3,25.4,Early Renaissance
392,Paris Parliament Crucifixion,http://commons.wikimedia.org/wiki/Special:FilePath/La%20Crucifixion%20du%20Parlement%20de%20Paris%20-%20Mus%C3%A9e%20du%20Louvre%20Peintures%20RF%202065.jpg,Master of the Parlement de Paris,1449,oil paint,Department of Paintings of the Louvre,Room 820,Unknown,226.5,270.0,Flamboyant
393,La Chasse aux lions,http://commons.wikimedia.org/wiki/Special:FilePath/Delacroix%20-%20La%20Chasse%20aux%20lions%2C%201855.jpg,Eugène Delacroix,1855,oil paint,Musée des Beaux-Arts de Bordeaux,Musée des Beaux-Arts de Bordeaux,Unknown,175.0,360.0,Romanticism
394,Boy with a Basket of Fruit,http://commons.wikimedia.org/wiki/Special:FilePath/Boy%20with%20a%20Basket%20of%20Fruit-Caravaggio%20%281593%29.jpg,Caravaggio,1594,oil paint,Borghese Collection,Galleria Borghese,Unknown,70.0,67.0,Italian Baroque painting
395,The Anger of Achilles,http://commons.wikimedia.org/wiki/Special:FilePath/Jacques-Louis%20David%20-%20The%20Anger%20of%20Achilles%20-%20Google%20Art%20Project.jpg,Jacques-Louis David,1819,oil paint,Kimbell Art Museum,Kimbell Art Museum,Unknown,105.3,145.0,Neoclassicism
396,Andromache Mourning Hector,http://commons.wikimedia.org/wiki/Special:FilePath/Jacques-Louis%20David%20-%20Andromache%20Mourning%20Hector%20-%20WGA6050.jpg,Jacques-Louis David,1782,oil paint,Department of Paintings of the Louvre,Room 702,Unknown,275.0,203.0,Neoclassicism
397,Dance of Life,http://commons.wikimedia.org/wiki/Special:FilePath/Edvard%20Munch%20-%20The%20Dance%20of%20Life%20-%20NG.M.00941%20-%20National%20Museum%20of%20Art%2C%20Architecture%20and%20Design.jpg,Edvard Munch,2000,oil paint,"National Museum of Art, Architecture and Design","National Museum of Art, Architecture and Design",Unknown,125.0,191.0,Expressionism
398,Battle of Nancy (1477),http://commons.wikimedia.org/wiki/Special:FilePath/Delacroix-Bataille-de-Nancy%20cropped.jpg,Eugène Delacroix,1831,oil paint,Museum of Fine Arts of Nancy,Museum of Fine Arts of Nancy,Unknown,237.0,350.0,Romanticism
399,The Family of Philip V,http://commons.wikimedia.org/wiki/Special:FilePath/La%20familia%20de%20Felipe%20V%20%28Van%20Loo%29.jpg,Louis-Michel van Loo,1743,oil paint,Museo del Prado,Museo del Prado,Unknown,408.0,520.0,Rococo
400,La encantadora de serpientes,http://commons.wikimedia.org/wiki/Special:FilePath/HENRI%20ROUSSEAU%20-%20La%20Encantadora%20de%20Serpientes%20%28Museo%20de%20Orsay%2C%20Par%C3%ADs%2C%201907.%20%C3%93leo%20sobre%20lienzo%2C%20169%20x%20189.5%20cm%29.jpg,Henri Rousseau,1907,oil paint,Musée d'Orsay,Musée d'Orsay,Unknown,167.0,189.0,naïve art
401,The Distribution of the Eagle Standards,http://commons.wikimedia.org/wiki/Special:FilePath/Jacques%20Louis%20David%20-%20Serment%20de%20l%27arm%C3%A9e%20fait%20%C3%A0%20l%27Empereur%20apr%C3%A8s%20la%20distribution%20des%20aigles%2C%205%20d%C3%A9cembre%201804%20-%20Google%20Art%20Project.jpg,Jacques-Louis David,1810,oil paint,Palace of Versailles,Sacre Hall,Unknown,610.0,931.0,Neoclassicism
402,The Tempest,http://commons.wikimedia.org/wiki/Special:FilePath/Giorgione%2C%20The%20tempest.jpg,Giorgione,1506,canvas,Vendramin Collection,Q81687031,Unknown,82.0,73.0,High Renaissance
403,Last Miracle and the Death of Saint Zenobius,http://commons.wikimedia.org/wiki/Special:FilePath/Sandro%20Botticelli%20-%20Last%20Miracle%20and%20the%20Death%20of%20St.%20Zenobius%20-%20Google%20Art%20Project.jpg,Sandro Botticelli,1500,tempera,Staatliche Kunstsammlungen Dresden,Gemäldegalerie Alte Meister,Unknown,66.0,182.0,Early Renaissance
404,St Mark's Body Brought to Venice,http://commons.wikimedia.org/wiki/Special:FilePath/Jacopo%20Tintoretto%20-%20St%20Mark%27s%20Body%20Brought%20to%20Venice.jpg,Jacopo Tintoretto,1564,oil paint,Gallerie dell'Accademia,Gallerie dell'Accademia,Unknown,398.0,315.0,Mannerism
405,La Paloma,http://commons.wikimedia.org/wiki/Special:FilePath/Isidre%20Nonell%201904%20--%20La%20Paloma.jpg,Isidre Nonell,1904,oil paint,Museu Nacional d'Art de Catalunya,Museu Nacional d'Art de Catalunya,Unknown,67.0,54.0,Catalan modernism
406,View of Toledo,http://commons.wikimedia.org/wiki/Special:FilePath/View%20of%20Toledo%20MET%20DP349564.jpg,El Greco,1596,canvas,Metropolitan Museum of Art,Metropolitan Museum of Art,Unknown,121.3,108.6,Mannerism
407,Avenue of Poplars near Moret-sur-Loing,http://commons.wikimedia.org/wiki/Special:FilePath/All%C3%A9e%20de%20peupliers%20aux%20environs%20de%20Moret-sur-Loing.jpg,Alfred Sisley,1890,oil paint,Musée d'Orsay,Galerie nationale du Jeu de Paume,Unknown,65.0,81.0,Impressionism
408,The Fairy Feller's Master-Stroke,http://commons.wikimedia.org/wiki/Special:FilePath/Richard%20Dadd%20-%20The%20Fairy%20Feller%27s%20Master-Stroke%20-%20Google%20Art%20Project.jpg,Richard Dadd,1855,oil paint,Tate,Tate,Unknown,39.4,54.0,fairy painting
409,A Lady Writing a Letter,http://commons.wikimedia.org/wiki/Special:FilePath/A%20Lady%20Writing%20by%20Johannes%20Vermeer%2C%201665-6.png,Johannes Vermeer,1665,canvas,National Gallery of Art,National Gallery of Art,Unknown,45.0,40.0,Dutch Golden Age painting
410,Portrait of Lorenzo di Credi,http://commons.wikimedia.org/wiki/Special:FilePath/Lorenzo%20di%20Credi%20by%20Perugino.jpg,Pietro Perugino,1488,transferred on canvas,National Gallery of Art,National Gallery of Art,Unknown,44.0,30.5,Italian Renaissance
411,Christ in the House of Martha and Mary,http://commons.wikimedia.org/wiki/Special:FilePath/Johannes%20%28Jan%29%20Vermeer%20-%20Christ%20in%20the%20House%20of%20Martha%20and%20Mary%20-%20Google%20Art%20Project.jpg,Johannes Vermeer,1650,canvas,Scottish National Gallery,Scottish National Gallery,Unknown,158.5,141.5,Dutch Golden Age painting
412,Perugia Altarpiece,http://commons.wikimedia.org/wiki/Special:FilePath/Angelico%20-%20Perugia%20Altarpiece%2C%20National%20Gallery%20of%20Umbria.jpg,Fra Angelico,1438,panel,National Gallery of Umbria,National Gallery of Umbria,Unknown,128.0,88.0,Italian Renaissance
413,Belisarius Begging for Alms,http://commons.wikimedia.org/wiki/Special:FilePath/David%20-%20Belisarius.jpg,Jacques-Louis David,1781,canvas,Palais des Beaux-Arts de Lille,Palais des Beaux-Arts de Lille,Unknown,288.0,312.0,Neoclassicism
414,Charles IV of Spain and His Family,http://commons.wikimedia.org/wiki/Special:FilePath/La%20familia%20de%20Carlos%20IV%2C%20por%20Francisco%20de%20Goya.jpg,Francisco Goya,1800,oil paint,Museo del Prado,Royal Palace of Madrid,Unknown,280.0,336.0,Romanticism
415,Autoportrait,http://commons.wikimedia.org/wiki/Special:FilePath/Claude%20Monet-Portrait%20de%20l%27artiste-1917.jpg,Claude Monet,1917,oil paint,Musée d'Orsay,MUba Eugène-Leroy,Unknown,70.0,55.0,Impressionism
416,Flooding at Port-Marly,http://commons.wikimedia.org/wiki/Special:FilePath/La%20inundaci%C3%B3n%20en%20Port%20Marly%2C%20por%20Alfred%20Sisley.jpg,Alfred Sisley,1876,oil paint,Musée d'Orsay,Musée d'Orsay,Unknown,60.0,81.0,Impressionism
417,Christ at the Column,http://commons.wikimedia.org/wiki/Special:FilePath/Caravaggio%20flagellation.jpg,Caravaggio,1606,oil paint,Musée des Beaux-Arts de Rouen,Musée des Beaux-Arts de Rouen,Unknown,134.5,175.5,Baroque
418,Fray Hortensio Félix Paravicino,http://commons.wikimedia.org/wiki/Special:FilePath/El%20Greco%20%28Domenikos%20Theotokopoulos%29%20-%20Fray%20Hortensio%20F%C3%A9lix%20Paravicino%20-%20Google%20Art%20Project.jpg,El Greco,1609,oil paint,Museum of Fine Arts Boston,Museum of Fine Arts Boston,Spain,112.1,86.1,Mannerism
419,Portrait of a Young Woman,http://commons.wikimedia.org/wiki/Special:FilePath/Raffael%20043.jpg,Raphael,1507,panel,Galleria Nazionale delle Marche,Palazzo Ducale,Unknown,65.2,48.0,High Renaissance
420,Altarpiece Tetschen,http://commons.wikimedia.org/wiki/Special:FilePath/Caspar%20David%20Friedrich%20-%20Das%20Kreuz%20im%20Gebirge.jpg,Caspar David Friedrich,1807,oil paint,Staatliche Kunstsammlungen Dresden,Galerie Neue Meister,Unknown,115.0,110.0,Romanticism
421,Tahitian Women on the Beach,http://commons.wikimedia.org/wiki/Special:FilePath/Paul%20Gauguin%20056.jpg,Paul Gauguin,1890,oil paint,Musée d'Orsay,Musée d'Orsay,Unknown,69.0,91.5,Post-impressionism
422,St. Ildefonso Receiving the Chasuble from the Virgin,http://commons.wikimedia.org/wiki/Special:FilePath/St%20Ildefonso%20Receiving%20the%20Chasuble%20from%20the%20Virgin%20by%20Diego%20Vel%C3%A1zquez.jpg,Diego Velázquez,1623,oil paint,Focus-Abengoa Foundation,Focus-Abengoa Foundation,Madrid,166.0,120.0,Baroque
423,Where Do We Come From? What Are We? Where Are We Going?,http://commons.wikimedia.org/wiki/Special:FilePath/Paul%20Gauguin%20-%20D%27ou%20venons-nous.jpg,Paul Gauguin,1897,oil paint,Museum of Fine Arts Boston,Museum of Fine Arts Boston,Tahiti,139.1,374.6,Post-impressionism
424,Madonna and Child (The Conestabile Madonna),http://commons.wikimedia.org/wiki/Special:FilePath/Raffaello%20Madonna%20Connestabile.jpg,Raphael,1504,tempera,Hermitage Museum,Hermitage Museum,Italy,17.5,18.0,High Renaissance
425,The Dessert: Harmony in Red (The Red Room),http://commons.wikimedia.org/wiki/Special:FilePath/La%20Desserte%20rouge%2C%20par%20Henri%20Matisse.jpg,Henri Matisse,1907,oil paint,Hermitage Museum,Hermitage Museum,France,180.5,221.0,Fauvism
426,Eva Prima Pandora,http://commons.wikimedia.org/wiki/Special:FilePath/Eva%20Prima%20Pandora%20-%20Jean%20Cousin%20l%27Ancien%20-%20Mus%C3%A9e%20du%20Louvre%20Peintures%20RF%202373.jpg,Jean Cousin,1550,oil paint,Department of Paintings of the Louvre,Room 823,Unknown,97.5,150.0,School of Fontainebleau
427,Saint George and the Dragon,http://commons.wikimedia.org/wiki/Special:FilePath/Raphael%20-%20Saint%20George%20and%20the%20Dragon%20-%20Google%20Art%20Project.jpg,Raphael,1505,oil paint,Collection Crozat,National Gallery of Art,Unknown,28.5,21.5,High Renaissance
428,The Consecration of Saint Augustine,http://commons.wikimedia.org/wiki/Special:FilePath/Huguet-estructuraStAgusti.png,Pablo Vergós,1463,gold leaf,Museu Nacional d'Art de Catalunya,Museu Nacional d'Art de Catalunya,Unknown,272.0,200.0,Gothic painting
429,The Consecration of Saint Augustine,http://commons.wikimedia.org/wiki/Special:FilePath/Huguet-estructuraStAgusti.png,Jaume Huguet,1463,stucco,Museu Nacional d'Art de Catalunya,Museu Nacional d'Art de Catalunya,Unknown,272.0,200.0,Gothic painting
430,Peasant Family in an Interior,http://commons.wikimedia.org/wiki/Special:FilePath/Famille%20de%20paysans%20dans%20un%20interieur.jpg,Louis Le Nain,1642,oil paint,Department of Paintings of the Louvre,Room 912,Unknown,113.0,159.0,Baroque
431,Portrait of Don Diego de Corral y Arellano,http://commons.wikimedia.org/wiki/Special:FilePath/Don%20Diego%20del%20Corral%20y%20Arellano%2C%20por%20Diego%20Vel%C3%A1zquez.jpg,Diego Velázquez,1632,oil paint,Museo del Prado,Museo del Prado,Unknown,215.0,110.0,Baroque
432,Madonna of Humility,http://commons.wikimedia.org/wiki/Special:FilePath/Virgen%20humildad-fra%20angelico.jpg,Fra Angelico,1433,tempera,Museu Nacional d'Art de Catalunya,Museu Nacional d'Art de Catalunya,Unknown,1470.0,910.0,Italian Renaissance
433,Odalisque with Slave,http://commons.wikimedia.org/wiki/Special:FilePath/Jean-Paul%20Flandrin%20-%20Odalisque%20with%20Slave%20-%20Walters%2037887.jpg,Paul Flandrin,1842,oil paint,Walters Art Museum,Walters Art Museum,Unknown,76.0,105.0,Orientalism
434,Peasant Family in an Interior,http://commons.wikimedia.org/wiki/Special:FilePath/Famille%20de%20paysans%20dans%20un%20interieur.jpg,Antoine Le Nain,1642,oil paint,Department of Paintings of the Louvre,Room 912,Unknown,113.0,159.0,Baroque
435,Odalisque with Slave,http://commons.wikimedia.org/wiki/Special:FilePath/Jean-Paul%20Flandrin%20-%20Odalisque%20with%20Slave%20-%20Walters%2037887.jpg,Hippolyte Flandrin,1842,oil paint,Walters Art Museum,Walters Art Museum,Unknown,76.0,105.0,Orientalism
436,The Magdalen Reading,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Magdalen%20Reading%20Rogier.jpg,Rogier van der Weyden,1435,panel,National Gallery,National Gallery,Unknown,62.2,54.4,Early Netherlandish painting
437,Doña Antonia de Ipeñarrieta y Galdós and Her Son Don Luis,http://commons.wikimedia.org/wiki/Special:FilePath/Do%C3%B1a%20Antonia%20de%20Ipe%C3%B1arrieta%20y%20su%20hijo%2C%20by%20Diego%20Vel%C3%A1zquez.jpg,Diego Velázquez,1632,oil paint,Museo del Prado,Museo del Prado,Unknown,215.0,110.0,Baroque
438,God the Father Blessing among the Angels,http://commons.wikimedia.org/wiki/Special:FilePath/Dieu%20le%20P%C3%A8re%20b%C3%A9nissant%20parmi%20les%20anges%20-%20Rapha%C3%ABl%20-%20Mus%C3%A9e%20du%20Louvre%20Peintures%20RF%2048.jpg,Raphael,1515,fresco,Department of Paintings of the Louvre,Room 709,Unknown,140.0,283.0,Italian Renaissance
