id,title,image_url,artist,year,medium,collection,current_location,creation_location,height,width,movement
129,Head of Medusa,http://commons.wikimedia.org/wiki/Special:FilePath/Rubens%20Medusa.jpeg,Peter Paul Rubens,1618,panel,Kunsthistorisches Museum,Q109998474,Unknown,68.5,118.0,Flemish Baroque painting
130,Balaam and the Ass,http://commons.wikimedia.org/wiki/Special:FilePath/P1150002%20Cognacq-Jay%20Rembrandt%20anesse%20de%20Balaam%20rwk.jpg,Rembrandt,1626,oil paint,Jacques Goudstikker collection,Musée Cognacq-Jay,Unknown,63.0,46.5,Dutch Golden Age painting
131,Nocturne in Black and Gold – The Falling Rocket,http://commons.wikimedia.org/wiki/Special:FilePath/James%20Abbott%20McNeill%20Whistler%20-%20Nocturne%20in%20Black%20and%20Gold%2C%20the%20Falling%20Rocket%20-%2046.309%20-%20Detroit%20Institute%20of%20Arts.jpg,James McNeill Whistler,1875,oil paint,Detroit Institute of Arts,Detroit Institute of Arts,Unknown,60.3,46.4,Tonalism
132,Blue Nude,http://commons.wikimedia.org/wiki/Special:FilePath/Nu%20bleu%20%28souvenir%20de%20Biskra%29%2C%20par%20Henri%20Matisse.jpg,Henri Matisse,1907,oil paint,Baltimore Museum of Art,Baltimore Museum of Art,Unknown,92.1,140.3,modern art
133,Venus and Adonis,http://commons.wikimedia.org/wiki/Special:FilePath/Titian%20-%20Venus%20and%20Adonis.jpeg,Titian,1554,oil paint,Museo del Prado,Museo del Prado,Unknown,186.0,207.0,Venetian school
134,Solly Madonna,http://commons.wikimedia.org/wiki/Special:FilePath/Raffael%20%281483%20-%201520%29%20-%20The%20Virgin%20and%20Child%20-%20Solly%20Madonna%20-%20141%20-%20Gem%C3%A4ldegalerie.jpg,Raphael,1501,oil paint,Gemäldegalerie Berlin,Gemäldegalerie Berlin,Unknown,52.0,38.0,High Renaissance
135,Madonna of the Rose Bower,http://commons.wikimedia.org/wiki/Special:FilePath/Martin%20Schongauer%20Madonna%20in%20Rose%20Garden.jpg,Martin Schongauer,1473,oil paint,Dominican Convent,Dominican Convent,Unknown,200.0,114.5,Renaissance
136,Dusk,http://commons.wikimedia.org/wiki/Special:FilePath/William-Adolphe%20Bouguereau%20%281825%E2%80%931905%29%20-%20Le%20Cr%C3%A9puscule%20%281882%29.jpg,William-Adolphe Bouguereau,1882,oil paint,National Museum of Fine Arts of Cuba,National Museum of Fine Arts of Cuba,Unknown,207.5,108.0,academic art
137,Chigi Retablo,http://commons.wikimedia.org/wiki/Special:FilePath/Pietro%20Perugino%20cat72.jpg,Pietro Perugino,1506,oil paint,Sant'Agostino,Sant'Agostino,Unknown,400.0,289.0,Italian Renaissance
138,The Feast of Saint Nicholas,http://commons.wikimedia.org/wiki/Special:FilePath/Jan%20Havicksz.%20Steen%20%E2%80%93%20Het%20Sint-Nicolaasfeest%20%E2%80%93%20Google%20Art%20Project.jpg,Jan Steen,1665,oil paint,Rijksmuseum,Rijksmuseum,Unknown,82.0,70.5,Dutch Golden Age painting
139,Jupiter and Io,http://commons.wikimedia.org/wiki/Special:FilePath/Antonio%20Allegri%2C%20gen.%20Correggio%2C%20Kunsthistorisches%20Museum%20Wien%2C%20Gem%C3%A4ldegalerie%20-%20Jupiter%20und%20Io%20-%20GG%20274%20-%20Kunsthistorisches%20Museum.jpg,Antonio da Correggio,1530,oil paint,Kunsthistorisches Museum,Kunsthistorisches Museum,Unknown,162.0,73.5,Mannerism
140,Café Terrace at Night,http://commons.wikimedia.org/wiki/Special:FilePath/Vincent%20van%20Gogh%20%281853-1890%29%20Caf%C3%A9terras%20bij%20nacht%20%28place%20du%20Forum%29%20Kr%C3%B6ller-M%C3%BCller%20Museum%20Otterlo%2023-8-2016%2013-35-40.JPG,Vincent van Gogh,1888,oil paint,Kröller-Müller Museum,Kröller-Müller Museum,Arles,80.7,65.3,Post-impressionism
141,San Francesco al Prato Resurrection,http://commons.wikimedia.org/wiki/Special:FilePath/Pietro%20Perugino%20cat53.jpg,Pietro Perugino,1499,panel,Pinacoteca Vaticana,Pinacoteca Vaticana,Unknown,233.0,165.0,High Renaissance
142,The Evil Mothers,http://commons.wikimedia.org/wiki/Special:FilePath/Giovanni%20Segantini%20-%20Die%20b%C3%B6sen%20M%C3%BCtter%20-%20485%20-%20%C3%96sterreichische%20Galerie%20Belvedere.jpg,Giovanni Segantini,1894,oil paint,Belvedere,Belvedere,Unknown,105.0,200.0,Symbolism
143,Bladelin Triptych,http://commons.wikimedia.org/wiki/Special:FilePath/Rogier%20van%20der%20Weyden%20-%20The%20Middelburg%20Altar%20-%20Google%20Art%20Project.jpg,Rogier van der Weyden,1450,oil paint,Gemäldegalerie Berlin,"Paintings in the Gemäldegalerie, Berlin - Room IV",Unknown,91.0,40.0,Early Netherlandish painting
144,The Holy Family with Saint John the Baptist,http://commons.wikimedia.org/wiki/Special:FilePath/Raffael%20100.jpg,Raphael,1513,oil paint,Kunsthistorisches Museum,Kunsthistorisches Museum,Unknown,154.5,114.0,High Renaissance
145,Girl Reading a Letter at an Open Window,http://commons.wikimedia.org/wiki/Special:FilePath/Jan%20Vermeer%20van%20Delft%20-%20Brieflezend%20meisje%20bij%20het%20venster%20%28ca.%201657-59%29.jpg,Johannes Vermeer,1658,canvas,Staatliche Kunstsammlungen Dresden,Gemäldegalerie Alte Meister,Unknown,83.0,64.5,Dutch Golden Age painting
146,The Holy Family With a Palm Tree,http://commons.wikimedia.org/wiki/Special:FilePath/Raphael%20The%20Holy%20Family%20with%20a%20Palm%20Tree.jpg,Raphael,1506,oil paint,National Galleries Scotland,Scottish National Gallery,Unknown,101.5,101.5,High Renaissance
147,Banks of the Marne,http://commons.wikimedia.org/wiki/Special:FilePath/Paul%20C%C3%A9zanne%20-%20Banks%20of%20the%20Marne%20-%20Google%20Art%20Project.jpg,Paul Cézanne,1888,canvas,Art Gallery of New South Wales,Art Gallery of New South Wales,Marne,63.0,79.0,Post-impressionism
148,Rest on the Flight into Egypt,http://commons.wikimedia.org/wiki/Special:FilePath/Rest%20on%20the%20Flight%20into%20Egypt-Caravaggio%20%28c.1597%29.jpg,Caravaggio,1597,oil paint,Galleria Doria Pamphilj,Galleria Doria Pamphilj,Unknown,135.5,48.0,Baroque
149,Crucifixion of Saint Peter,http://commons.wikimedia.org/wiki/Special:FilePath/Crucifixion%20of%20Saint%20Peter-Caravaggio%20%28c.1600%29.jpg,Caravaggio,1600,oil paint,Santa Maria del Popolo,Cerasi Chapel,Unknown,230.0,175.0,Italian Baroque painting
150,Resurrection of Christ,http://commons.wikimedia.org/wiki/Special:FilePath/Rafael%20-%20ressureicaocristo01.jpg,Raphael,1500,wood,São Paulo Museum of Art,São Paulo Museum of Art,Unknown,56.5,44.0,High Renaissance
151,The Monk by the Sea,http://commons.wikimedia.org/wiki/Special:FilePath/Friedrich%2C%20Caspar%20David%20-%20M%C3%B6nch%20am%20Meer%20-%20Alte%20Nationalgalerie%20in%20Berlin.jpg,Caspar David Friedrich,1800,oil paint,Alte Nationalgalerie,Alte Nationalgalerie,Unknown,110.0,171.5,German Romanticism
